epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.1846,3.72542,4.51809,4.14274,0.00448,0.0172,0.00317,0.0009,2.98425,4.48047,4.24967,0.00332543,0.00332543,0.00332543
2,119.228,3.00309,3.76683,3.40435,0.82615,0.02921,0.01459,0.00334,3.13864,3.36521,3.32041,0.00659285,0.00659285,0.00659285
3,175.942,2.48776,3.13877,2.82097,0.48537,0.09076,0.04572,0.01311,2.44705,3.42441,2.82088,0.00979426,0.00979426,0.00979426
4,231.99,2.20679,2.74052,2.47305,0.52362,0.06912,0.11818,0.03615,2.23073,3.09233,2.66014,0.009703,0.009703,0.009703
5,287.928,2.06534,2.46774,2.28475,0.55038,0.17275,0.13823,0.05133,1.97564,2.62352,2.33985,0.009604,0.009604,0.009604
6,343.582,1.98443,2.30674,2.17781,0.56941,0.19704,0.18605,0.06985,1.92216,2.46021,2.26863,0.009505,0.009505,0.009505
7,399.419,1.91618,2.17504,2.10235,0.64582,0.20625,0.23509,0.09053,1.90834,2.45741,2.20458,0.009406,0.009406,0.009406
8,454.797,1.86314,2.08244,2.03582,0.61301,0.25686,0.33108,0.14699,1.7768,2.19475,2.07839,0.009307,0.009307,0.009307
9,510.338,1.82368,2.00927,1.99166,0.70643,0.25684,0.35473,0.1578,1.71185,2.08382,2.02106,0.009208,0.009208,0.009208
10,566.54,1.78916,1.95882,1.9558,0.69087,0.28057,0.29881,0.1397,1.6615,2.12664,1.96368,0.009109,0.009109,0.009109
11,622.242,1.76302,1.88964,1.92319,0.67854,0.28056,0.34783,0.16803,1.67157,2.11234,1.97041,0.00901,0.00901,0.00901
12,678.118,1.73665,1.85821,1.89512,0.86097,0.24336,0.42125,0.2044,1.57006,1.93187,1.88103,0.008911,0.008911,0.008911
13,734.038,1.71701,1.78267,1.86285,0.55475,0.32101,0.3933,0.20435,1.60977,1.96472,1.88738,0.008812,0.008812,0.008812
14,789.744,1.70586,1.7455,1.85602,0.74188,0.2983,0.42923,0.22233,1.57103,1.85008,1.86409,0.008713,0.008713,0.008713
15,846.249,1.68205,1.70692,1.83234,0.54571,0.3392,0.40976,0.21511,1.53771,1.87977,1.84035,0.008614,0.008614,0.008614
16,901.966,1.66521,1.67563,1.80948,0.52999,0.33972,0.40929,0.20932,1.52706,1.93685,1.82288,0.008515,0.008515,0.008515
17,957.488,1.65555,1.6369,1.78961,0.81042,0.32264,0.55112,0.29792,1.5007,1.87167,1.7824,0.008416,0.008416,0.008416
18,1013,1.64319,1.60792,1.78047,0.57619,0.32402,0.46011,0.25322,1.49176,1.79496,1.76644,0.008317,0.008317,0.008317
19,1068.26,1.61693,1.59475,1.763,0.56596,0.35749,0.45728,0.25327,1.46977,1.81415,1.73991,0.008218,0.008218,0.008218
20,1123.25,1.60641,1.57097,1.75355,0.49222,0.35672,0.45836,0.24481,1.50627,1.71256,1.78459,0.008119,0.008119,0.008119
21,1176.59,1.58663,1.548,1.73242,0.56759,0.40813,0.48655,0.26655,1.469,1.69781,1.72042,0.00802,0.00802,0.00802
22,1231.93,1.58944,1.51503,1.72061,0.63946,0.38432,0.50567,0.27851,1.43077,1.71805,1.71023,0.007921,0.007921,0.007921
23,1287.02,1.57975,1.49606,1.71693,0.61814,0.36349,0.52128,0.29436,1.4265,1.70895,1.68687,0.007822,0.007822,0.007822
24,1342.16,1.56752,1.49301,1.70555,0.60946,0.38642,0.49869,0.2788,1.40748,1.69612,1.68316,0.007723,0.007723,0.007723
25,1397.14,1.55293,1.45949,1.69164,0.5857,0.35487,0.49635,0.27814,1.41245,1.73522,1.67361,0.007624,0.007624,0.007624
26,1452.31,1.55204,1.43461,1.68426,0.39089,0.55655,0.49643,0.28554,1.39163,1.66334,1.65605,0.007525,0.007525,0.007525
27,1506.87,1.53999,1.44953,1.68385,0.4053,0.54955,0.52495,0.30221,1.35059,1.63581,1.62864,0.007426,0.007426,0.007426
28,1562.11,1.52027,1.39525,1.65666,0.39748,0.57997,0.52303,0.30812,1.3702,1.619,1.63182,0.007327,0.007327,0.007327
29,1617.11,1.51648,1.38046,1.64571,0.46565,0.562,0.59487,0.33157,1.35194,1.58976,1.62085,0.007228,0.007228,0.007228
30,1672.2,1.51151,1.36273,1.64313,0.46631,0.55847,0.53358,0.32053,1.35458,1.58261,1.61547,0.007129,0.007129,0.007129
31,1727.14,1.49521,1.34733,1.63753,0.42483,0.54988,0.54399,0.31263,1.34588,1.54767,1.61553,0.00703,0.00703,0.00703
32,1782.54,1.49043,1.34792,1.63798,0.63325,0.40881,0.54264,0.32159,1.33564,1.56246,1.59769,0.006931,0.006931,0.006931
33,1837.79,1.47901,1.32537,1.62561,0.57154,0.47576,0.55992,0.32513,1.33962,1.54008,1.59657,0.006832,0.006832,0.006832
34,1893.58,1.47426,1.316,1.6135,0.47025,0.54274,0.59053,0.3402,1.34966,1.54858,1.60285,0.006733,0.006733,0.006733
35,1949.43,1.47083,1.30963,1.61692,0.56844,0.42938,0.50956,0.30967,1.33261,1.60331,1.58892,0.006634,0.006634,0.006634
36,2005.19,1.46367,1.28735,1.60013,0.41452,0.58016,0.53039,0.32147,1.30489,1.55167,1.56784,0.006535,0.006535,0.006535
37,2060.73,1.45944,1.28496,1.60541,0.53031,0.52186,0.58826,0.35646,1.31865,1.49714,1.57607,0.006436,0.006436,0.006436
38,2116.04,1.45217,1.27259,1.59454,0.41024,0.59678,0.5371,0.32478,1.30899,1.53896,1.56616,0.006337,0.006337,0.006337
39,2171.18,1.44596,1.25381,1.59292,0.42639,0.58353,0.52646,0.32045,1.31143,1.52322,1.56695,0.006238,0.006238,0.006238
40,2226.59,1.45349,1.25462,1.59013,0.46853,0.55511,0.56933,0.344,1.31012,1.47916,1.56622,0.006139,0.006139,0.006139
41,2282.01,1.42783,1.25119,1.58185,0.473,0.56717,0.58606,0.35552,1.29493,1.48057,1.54325,0.00604,0.00604,0.00604
42,2337.55,1.42208,1.22029,1.57065,0.43856,0.59766,0.56174,0.35395,1.27672,1.48628,1.53429,0.005941,0.005941,0.005941
43,2393.58,1.41149,1.21856,1.56772,0.47728,0.56797,0.52011,0.3231,1.27788,1.49919,1.53533,0.005842,0.005842,0.005842
44,2449.19,1.40696,1.19853,1.55511,0.51003,0.55238,0.56233,0.35057,1.27163,1.47658,1.5311,0.005743,0.005743,0.005743
45,2504.94,1.40966,1.20568,1.55699,0.48413,0.55611,0.55634,0.34162,1.26108,1.47317,1.5212,0.005644,0.005644,0.005644
